StudentID,Gender,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major,PartTimeJob,ExtraCurricularActivities
100,Male,18,22,70.22,3.72,Arts,No,Yes
101,Male,24,30,78.62,3.6,Science,No,Yes
102,Female,20,17,90.2,2.37,Arts,Yes,No
103,Female,21,26,76.92,2.59,Business,Yes,No
104,Female,19,36,83.08,3.59,Education,No,Yes
105,Female,24,1,86.89,2.37,Science,No,Yes
106,Female,19,8,76.01,3.84,Science,No,No
107,Female,22,35,71.34,2.85,Business,Yes,Yes
108,Female,19,15,93.83,2.17,Engineering,No,Yes
109,Female,22,22,70.88,3.63,Education,Yes,No
